identifier,date,chargedAmount,originalCurrency,type,category,description,status
"04557434140005092346576","2024-05-17T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74580004143258263266949","2024-05-20T21:00:00.000Z",-72,"ILS","normal","מסעדות, קפה וברים","קיוטו שרונה","completed"
"74580004144258342994338","2024-05-21T21:00:00.000Z",-44,"ILS","normal","מסעדות, קפה וברים","ג'סמינו","completed"
"74403034147038001837625","2024-05-24T21:00:00.000Z",-34.89,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034148030001768610","2024-05-24T21:00:00.000Z",-11,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"04557434149005511820970","2024-05-26T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034151031004413562","2024-05-27T21:00:00.000Z",-41,"ILS","normal","מסעדות, קפה וברים","ארומה קרליבך","completed"
"74403034152031001342425","2024-05-28T21:00:00.000Z",-55,"ILS","normal","מסעדות, קפה וברים","פורט 19 חשמונאים","completed"
"74350154158005209968283","2024-06-04T21:00:00.000Z",-147,"ILS","normal","העברת כספים","PAYBOX                 TEL AVIV      IL","completed"
"04557434159005889418081","2024-06-05T21:00:00.000Z",-24,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"04557434161005927191266","2024-06-06T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434162005983575542","2024-06-08T21:00:00.000Z",-24,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"74580004171260178169361","2024-06-17T21:00:00.000Z",-49,"ILS","normal","מסעדות, קפה וברים","נורמן","completed"
"04557434172006333092053","2024-06-18T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034178033001856396","2024-06-24T21:00:00.000Z",-33.89,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034179035003307590","2024-06-25T21:00:00.000Z",-22,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"04557434184006862086886","2024-06-30T21:00:00.000Z",-44.5,"ILS","normal","מסעדות, קפה וברים","מלאנוקס NVIDIA","completed"
"04557434185006904331513","2024-07-01T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434186006950436009","2024-07-03T21:00:00.000Z",-58,"ILS","normal","מסעדות, קפה וברים","ג'סיקה מטבח ישראלי ים תיכ","completed"
"74403034193004000746012","2024-07-08T21:00:00.000Z",-45,"ILS","normal","מסעדות, קפה וברים","GREEN DAY","completed"
"74580004193261736676073","2024-07-09T21:00:00.000Z",-44,"ILS","normal","מסעדות, קפה וברים","פלאפל השרון","completed"
"04557434194007237706875","2024-07-10T21:00:00.000Z",-36,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"74403034199003000976763","2024-07-13T21:00:00.000Z",-75,"ILS","normal","פנאי, בידור וספורט","OZEN","completed"
